UNION,SOVEREIGN1,signatories
Papua New Guinea,Papua New Guinea,Papua New Guinea
Paraguay,Paraguay,Paraguay
Peru,Peru,Peru
Philippines,Philippines,Philippines
Poland,Poland,Poland
Azores,Portugal,Portugal
Madeira,Portugal,Portugal
Portugal,Portugal,Portugal
Qatar,Qatar,Qatar
Republic of Mauritius,Republic of Mauritius,Mauritius
Republic of the Congo,Republic of the Congo,Congo
Romania,Romania,Romania
Russia,Russia,Russian Federation
Rwanda,Rwanda,Rwanda
Saint Kitts and Nevis,Saint Kitts and Nevis,Saint Kitts and Nevis
Saint Lucia,Saint Lucia,Saint Lucia
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines
Samoa,Samoa,Samoa
San Marino,San Marino,San Marino
Sao Tome and Principe,Sao Tome and Principe,Sao Tome and Principe
Saudi Arabia,Saudi Arabia,"Saudi Arabia, Kingdom of"
Senegal,Senegal,Senegal
Serbia,Serbia,Serbia
Seychelles,Seychelles,Seychelles
Sierra Leone,Sierra Leone,Sierra Leone
Singapore,Singapore,Singapore
Slovakia,Slovakia,Slovak Republic
Slovenia,Slovenia,Slovenia
Solomon Islands,Solomon Islands,Solomon Islands
Prince Edward Islands,South Africa,South Africa
South Africa,South Africa,South Africa
South Korea,South Korea,"Korea, Republic of"
South Sudan,South Sudan,South Sudan
Canary Islands,Spain,Spain
Spain,Spain,Spain
Sri Lanka,Sri Lanka,Sri Lanka
Sudan,Sudan,Sudan
Suriname,Suriname,Suriname
Swaziland,Swaziland,Eswatini
Sweden,Sweden,Sweden
Switzerland,Switzerland,Switzerland
Syria,Syria,Syrian Arab Republic
Taiwan,Taiwan,NA
Tajikistan,Tajikistan,Tajikistan
Tanzania,Tanzania,Tanzania
Thailand,Thailand,Thailand
Togo,Togo,Togo
Tonga,Tonga,Tonga
Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago
Tunisia,Tunisia,Tunisia
Turkey,Turkey,Türkiye
Turkmenistan,Turkmenistan,Turkmenistan
Tuvalu,Tuvalu,Tuvalu
Uganda,Uganda,Uganda
Ukraine,Ukraine,Ukraine
United Arab Emirates,United Arab Emirates,United Arab Emirates
Anguilla,United Kingdom,United Kingdom
Ascension,United Kingdom,United Kingdom
Bermuda,United Kingdom,United Kingdom
British Virgin Islands,United Kingdom,United Kingdom
Cayman Islands,United Kingdom,United Kingdom
Guernsey,United Kingdom,United Kingdom
Jersey,United Kingdom,United Kingdom
Montserrat,Montserrat,Montserrat
Pitcairn,United Kingdom,United Kingdom
Saint Helena,United Kingdom,United Kingdom
Tristan Da Cunha,United Kingdom,United Kingdom
Turks and Caicos Islands,United Kingdom,United Kingdom
United Kingdom,United Kingdom,United Kingdom
Alaska,United States,United States of America
American Samoa,United States,United States of America
Guam,United States,United States of America
Hawaii,United States,United States of America
Howland and Baker islands,United States,United States of America
Jarvis Island,United States,United States of America
Johnston Atoll,United States,United States of America
Northern Mariana Islands,United States,United States of America
Palmyra Atoll,United States,United States of America
Puerto Rico,United States,United States of America
United States,United States,United States of America
United States Virgin Islands,United States,United States of America
Wake Island,United States,United States of America
Uruguay,Uruguay,Uruguay
Uzbekistan,Uzbekistan,Uzbekistan
Vanuatu,Vanuatu,Vanuatu
Vatican City,Vatican City,NA
Venezuela,Venezuela,"Venezuela, Bolivarian Republic of"
Vietnam,Vietnam,Viet Nam
Yemen,Yemen,Yemen
Zambia,Zambia,Zambia
Zimbabwe,Zimbabwe,Zimbabwe
