UNION,SOVEREIGN1,signatories
Azerbaijan,Azerbaijan,Azerbaijan
Republic of the Congo,Republic of the Congo,NA
Taiwan,Taiwan,NA
Sint-Eustatius,Netherlands,Netherlands
Montenegro,Montenegro,Montenegro
Denmark,Denmark,Denmark
Palau,Palau,NA
Chagos Archipelago,Mauritius,Mauritius
Juan de Nova Island,France,France
Benin,Benin,Benin
Vanuatu,Vanuatu,Vanuatu
Tristan Da Cunha,United Kingdom,United Kingdom
Lebanon,Lebanon,NA
Ukraine,Ukraine,Ukraine
Niue,New Zealand,New Zealand
Line Group,Kiribati,Kiribati
India,India,India
Poland,Poland,Poland
Germany,Germany,Germany
Argentina,Argentina,Argentina
Singapore,Singapore,Singapore
Cyprus,Cyprus,Cyprus
Ascension,United Kingdom,United Kingdom
Belize,Belize,Belize
Montserrat,United Kingdom,United Kingdom
Japan,Japan,Japan
Aruba,Netherlands,Netherlands
Honduras,Honduras,Honduras
Canary Islands,Spain,Spain
Samoa,Samoa,Samoa
Tokelau,New Zealand,New Zealand
Curaçao,Netherlands,Netherlands
Namibia,Namibia,Namibia
Barbados,Barbados,Barbados
Peru,Peru,Peru
Sweden,Sweden,Sweden
Egypt,Egypt,Egypt
American Samoa,United States,NA
Russia,Russia,NA
Palmyra Atoll,United States,NA
Madagascar,Madagascar,Madagascar
Bonaire,Netherlands,Netherlands
Albania,Albania,Albania
Guatemala,Guatemala,Guatemala
Clipperton Island,France,France
Gambia,Gambia,NA
Democratic Republic of the Congo,Democratic Republic of the Congo,Democratic Republic of the Congo
Iceland,Iceland,Iceland
Pitcairn,United Kingdom,United Kingdom
Ghana,Ghana,Ghana
Anguilla,United Kingdom,United Kingdom
Libya,Libya,Libya
Islas San Félix and San Ambrosio,Chile,Chile
Belarus,Belarus,Belarus
Hungary,Hungary,Hungary
Tajikistan,Tajikistan,Tajikistan
Burkina Faso,Burkina Faso,Burkina Faso
Rwanda,Rwanda,Rwanda
Mongolia,Mongolia,NA
Zambia,Zambia,Zambia
Swaziland,Swaziland,NA
Laos,Laos,NA
Moldova,Moldova,NA
Bhutan,Bhutan,Bhutan
South Sudan,South Sudan,NA
Kyrgyzstan,Kyrgyzstan,NA
Liechtenstein,Liechtenstein,Liechtenstein
Switzerland,Switzerland,Switzerland
Central African Republic,Central African Republic,Central African Republic
Mali,Mali,Mali
Czech Republic,Czech Republic,Czech Republic
Bouvet,Norway,Norway
Paraguay,Paraguay,Paraguay
Slovakia,Slovakia,NA
Macedonia,Macedonia,NA
Ethiopia,Ethiopia,Ethiopia
Uganda,Uganda,Uganda
Andorra,Andorra,NA
Bolivia,Bolivia,NA
Austria,Austria,Austria
Afghanistan,Afghanistan,Afghanistan
Burundi,Burundi,Burundi
Botswana,Botswana,Botswana
Grand Duchy of Luxembourg,Grand Duchy of Luxembourg,NA
Nepal,Nepal,Nepal
Chad,Chad,Chad
Uzbekistan,Uzbekistan,Uzbekistan
Niger,Niger,Niger
Serbia,Serbia,Serbia
Zimbabwe,Zimbabwe,Zimbabwe
Spain,Spain,Spain
Colombian Exclusive Economic Zone (Quitasueño),Colombia,Colombia
Saint-Pierre and Miquelon,France,France
Serrana Bank,Colombia,Colombia
Italy,Italy,Italy
Belgium,Belgium,Belgium
Oman,Oman,Oman
Monaco,Monaco,NA
Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina
Bajo Nuevo Bank,Colombia,Colombia
Oecusse,East Timor,NA
Malawi,Malawi,Malawi
Lesotho,Lesotho,Lesotho
Armenia,Armenia,Armenia
San Marino,San Marino,NA
Vatican City,Vatican City,NA
Australia,Australia,Australia
Turkmenistan,Turkmenistan,Turkmenistan
NA,NA,"Bolivia, Plurinational State of"
NA,NA,"Venezuela, Bolivarian Republic of"
NA,NA,Brunei Darussalam
NA,NA,Lao People's Democratic Republic
NA,NA,Viet Nam
NA,NA,"Korea, Republic of"
NA,NA,Montserrat
NA,NA,"Moldova, Republic of"
NA,NA,North Macedonia
NA,NA,UNMIK/Kosovo
NA,NA,Russian Federation
NA,NA,Comoros
NA,NA,Eswatini
NA,NA,Somalia
NA,NA,United States of America
NA,NA,Luxembourg
NA,NA,Slovak Republic
NA,NA,Congo
NA,NA,Cabo Verde
NA,NA,The Gambia
NA,NA,Côte d'Ivoire
NA,NA,Türkiye
NA,NA,Kyrgyz Republic
NA,NA,"Korea, Democratic People's Republic of"
NA,NA,"Bahrain, Kingdom of"
NA,NA,"Kuwait, the State of"
NA,NA,"Saudi Arabia, Kingdom of"
NA,NA,Cook Islands
NA,NA,Niue
NA,NA,"Micronesia, Federated States of"
NA,NA,Lebanese Republic
NA,NA,Syrian Arab Republic
